,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,,,,,,,,
1,9.95,9.95333333333333,9.95,9.95333333333333,9.95333333333333,9.95,9.95333333333333,9.95333333333333,9.96,9.95666666666667,9.94666666666667,9.95333333333333,9.95333333333333,9.95,9.95333333333333,9.96
2,9.95666666666667,9.95666666666667,9.95333333333333,9.95666666666667,9.96,9.95333333333333,9.95333333333333,9.95666666666667,9.95666666666667,9.95666666666667,9.96,9.95666666666667,9.95333333333333,9.95333333333333,9.95333333333333,9.95
3,9.91666666666667,9.92,9.92333333333333,9.92,9.92,9.92666666666667,9.92,9.92,9.95333333333333,9.95,9.95,9.95333333333333,9.95333333333333,9.95,9.95666666666667,9.95333333333333
4,9.95666666666667,9.95666666666667,9.95,9.95333333333333,9.95333333333333,9.94666666666667,9.95333333333333,9.95333333333333,9.95333333333333,9.96,9.96,9.94666666666667,9.94666666666667,9.95333333333333,9.95,9.96
5,9.95666666666667,9.95666666666667,9.95333333333333,9.95666666666667,9.95666666666667,9.95666666666667,9.95333333333333,9.96,9.96333333333333,9.95666666666667,9.95333333333333,9.95666666666667,9.95666666666667,9.95666666666667,9.96333333333333,9.96
6,9.95666666666667,9.95333333333333,9.95333333333333,9.96,9.94666666666667,9.95333333333333,9.96,9.95666666666667,9.95,9.95666666666667,9.95333333333333,9.95333333333333,9.95333333333333,9.95333333333333,9.95666666666667,9.95333333333333
7,11.4333333333333,9.21,9.95333333333333,9.21333333333333,11.4,9.21,9.95666666666667,9.20666666666667,11.4333333333333,9.21,9.95333333333333,9.21,11.4666666666667,9.20666666666667,9.95,9.21
8,12.7,8.65,9.80333333333333,8.65333333333333,12.7,8.65,9.8,8.65333333333333,12.7,8.65,9.80333333333333,8.64666666666667,12.7,8.65,9.80333333333333,8.65333333333333
9,13.8,8.22333333333333,9.57333333333333,8.22,13.8,8.22,9.57,8.22333333333333,13.8,8.22333333333333,9.57333333333333,8.22,13.8,8.22333333333333,9.57333333333333,8.22333333333333
10,14.7,7.86333333333333,9.27666666666667,7.86333333333333,14.6666666666667,7.86333333333333,9.27666666666667,7.86,14.0333333333333,8.20333333333334,9.28,8.20333333333333,14,8.20666666666667,9.28333333333333,8.19666666666667
11,15.6,7.61,9.02,7.6,15.6,7.6,9.02333333333333,7.6,14.3,8.21666666666667,9.09,8.21333333333333,14.3,8.20666666666667,9.09333333333333,8.20333333333333
12,16.2333333333333,7.36,8.72,7.36666666666667,16.2333333333333,7.36,8.72333333333333,7.36333333333333,14.5,8.19666666666667,8.91666666666667,8.19333333333333,14.5,8.19333333333333,8.91666666666667,8.19333333333333
